Date,AORDS,BHP,CBA
20/01/2014,-1.174961226,-2.26889556,-0.971989623
27/01/2014,-0.940781887,-1.277027067,-0.684704714
3/02/2014,-0.396552799,-1.321221343,-0.961085152
10/02/2014,3.457703736,4.390928088,3.304433846
17/02/2014,1.525505051,3.79861042,-1.071667953
24/02/2014,-0.625876438,-2.037482108,1.74360329
3/03/2014,1.131077729,-1.73460442,1.778899038
10/03/2014,-2.400312961,-3.794900773,-0.991732223
17/03/2014,0.12895689,-0.22457914,0.543352303
24/03/2014,0.424942031,1.561654156,1.937229623
31/03/2014,0.958792646,4.358532593,-0.207618482
7/04/2014,-0.093992837,-0.34496738,0.492422659
14/04/2014,0.391962545,1.267836718,0.271088845
21/04/2014,1.290132148,0.471337695,1.687380183
28/04/2014,-1.400389798,-2.673898774,0.316383785
5/05/2014,0.058822792,0.187623642,0.453862535
12/05/2014,0.310064595,1.962431437,1.125718974
19/05/2014,0.208613758,-1.135621588,1.125466652
26/05/2014,0.063961408,-1.714490604,0.343797519
2/06/2014,-0.555080163,-2.102466278,0.220345264
9/06/2014,-1.104632998,-2.656389773,-0.048912382
16/06/2014,0.331931777,1.852953737,-0.380032061
23/06/2014,0.507816828,1.298888132,0.061381753
30/06/2014,1.51178208,3.108779725,0.587475922
7/07/2014,-0.677198163,0.02661077,-0.882497336
14/07/2014,0.811372601,2.132515126,0.04924687
21/07/2014,0.991588669,1.576457075,1.235130883
28/07/2014,-0.478342481,-1.524391031,0.654123184
4/08/2014,-2.149993501,-1.759707721,-3.30191836
11/08/2014,2.36606964,3.412228689,1.326493241
18/08/2014,1.444653321,-3.253392457,-0.729256184
25/08/2014,-0.282286219,-3.034997777,3.59158234
1/09/2014,-0.45797195,-2.82098638,-0.02457617
8/09/2014,-1.196652535,2.330511649,-1.324880796
15/09/2014,-1.732102875,-0.869959293,-3.062746674
22/09/2014,-2.244855853,-3.791348055,-3.332116806
29/09/2014,-0.022577051,-2.100375619,1.830089315
6/10/2014,-2.470337423,-3.467506812,-2.443169183
13/10/2014,1.424518161,3.31791837,2.299545813
20/10/2014,2.611922282,1.012795602,2.87186505
27/10/2014,1.938749075,0.649946368,2.147650432
3/11/2014,0.31014703,1.548603507,2.793623432
10/11/2014,-1.611957133,-3.661462664,-1.203448667
17/11/2014,-2.64235081,-4.773796939,-2.075931356
24/11/2014,0.113312318,-2.491365372,0.783516057
1/12/2014,0.292130587,-1.630271583,1.133305106
8/12/2014,-2.220731497,-6.660093843,0.122430395
15/12/2014,2.203794219,1.810638346,2.381476317
22/12/2014,1.063457701,-0.034505145,1.435125211
29/12/2014,0.843808614,1.948444814,0.960993076
5/01/2015,0.462458061,-1.294749709,0.349269401
12/01/2015,-3.009869885,-7.51106118,-2.912760166
19/01/2015,3.525076808,8.262718546,3.133337519
26/01/2015,1.513666185,-0.409277899,3.531937237
